0,low
1,low
2,low
3,low
4,low
5,low
6,low
7,medium
8,medium
10,low
11,low
12,medium
13,medium
14,medium
15,medium
16,high
17,high
18,low
19,low
20,low
21,low
22,low
23,low
24,low
25,low
26,low
27,low
28,low
29,low
30,low
31,low
32,low
33,low
34,low
35,low
36,low
37,low
38,low
39,low
40,low
41,low
42,low
43,low
46,low
47,high
48,high
49,high
50,low
51,low
52,low
53,low
54,low
55,low
56,low
57,low
58,low
59,low
60,low
61,low
62,low
63,low
64,low
65,low
66,low
67,medium
68,medium
69,medium
70,medium
71,high
72,high
73,high
74,high
75,low
76,low
77,low
78,low
79,low
80,low
81,low
82,low
83,low
84,low
85,low
86,low
87,low
88,low
89,low
90,low
91,low
92,low
93,low
94,low
95,low
96,low
97,low
98,low
99,low
100,low
101,low
102,low
103,low
104,low
105,medium
106,low
107,low
108,low
109,low
110,low
111,low
112,low
113,low
114,low
115,low
116,low
117,low
118,low
119,low
120,low
121,low
122,low
123,low
124,low
125,medium
126,high
127,high
128,high
130,low
131,low
132,low
133,low
134,low
135,low
136,low
137,medium
138,low
139,low
140,low
141,low
142,low
143,low
144,low
145,low
146,low
147,low
148,low
149,low
150,low
151,low
152,low
153,low
154,low
155,low
156,low
157,low
158,low
159,low
160,low
161,low
162,low
163,low
164,low
165,low
166,low
167,low
168,low
169,low
170,low
171,low
172,low
173,low
174,low
175,low
176,low
177,low
178,low
179,low
180,low
181,low
182,low
183,low
184,low
185,low
186,low
187,low
188,low
189,low
190,low
191,low
192,low
193,low
194,low
195,low
196,low
197,low
198,low
199,medium
200,low
201,medium
202,medium
203,medium
204,medium
